reading from file /home/ysc/x30_gridmap_captures/20260714_132556_factory_idle.pcap, link-type EN10MB (Ethernet)
2026-07-14 13:26:05.261938 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:05.364115 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.364521 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:05.487822 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.488182 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 13:26:05.566289 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.566669 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:05.664899 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.665246 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:26:05.775877 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.776322 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:05.864741 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.865201 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:05.978862 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:05.979286 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:26:06.087281 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.087700 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:06.165918 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.166311 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:06.283305 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.283706 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:06.362136 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.362592 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 184
2026-07-14 13:26:06.477432 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.477852 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 13:26:06.565944 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.566361 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:06.678439 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.678846 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:06.762661 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.763067 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:06.867294 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.867616 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:06.963797 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:06.964240 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 13:26:07.086340 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.086727 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:07.168322 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.168795 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 13:26:07.263959 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.264436 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:07.364379 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.364793 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:07.467251 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.467717 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 13:26:07.617857 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.618239 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:07.667191 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.667592 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 13:26:07.784689 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 13:26:07.785155 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 13:26:07.865810 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
