reading from file /home/ysc/x30_gridmap_captures/20260714_153211_mode3_object_probe.pcap, link-type EN10MB (Ethernet)
2026-07-14 15:32:18.186013 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:18.264237 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.264645 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:18.378890 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.379288 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:18.483066 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.483410 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:32:18.560377 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.560729 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 15:32:18.662158 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.662517 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:18.763581 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.763977 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:18.882317 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.882713 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:18.978311 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:18.978723 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 664
2026-07-14 15:32:19.079190 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.079597 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:19.164487 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.164837 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:19.264481 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.264842 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:19.417164 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.417651 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:19.468203 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.468697 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:19.581078 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.581575 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:19.663707 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.664101 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:19.773729 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.774076 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 15:32:19.865036 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.865445 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:19.969633 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:19.970042 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:20.078263 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.078667 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:20.174616 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.175092 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:20.266622 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.267047 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:20.388180 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.388583 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 520
2026-07-14 15:32:20.465645 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.466108 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 15:32:20.578663 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.579071 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 616
2026-07-14 15:32:20.690768 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.691191 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:32:20.784722 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.785174 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:32:20.889771 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.890172 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 15:32:20.966397 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:20.966804 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:21.065500 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:21.065871 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 15:32:21.166032 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:21.166390 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 15:32:21.267420 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 15:32:21.267715 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 664
2026-07-14 15:32:21.367293 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
