reading from file /home/ysc/x30_gridmap_captures/20260714_160857_mode3_measured_step_h022_d029_w035.pcap, link-type EN10MB (Ethernet)
2026-07-14 16:09:07.867919 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.868274 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:07.979310 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:07.979712 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:08.076408 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.076823 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:08.184183 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.184579 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:08.311835 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.312224 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:08.378389 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.378826 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:08.480538 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.480946 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:08.582098 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.582572 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:08.664633 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.665047 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 232
2026-07-14 16:09:08.769718 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.770132 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:09:08.866502 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.866898 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:08.980212 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:08.980612 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:09.082111 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.082526 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:09.178833 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.179237 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:09.282306 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.282722 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:09.381886 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.382312 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
2026-07-14 16:09:09.468215 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.468629 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:09.568090 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.568505 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:09.681978 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.682389 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 280
2026-07-14 16:09:09.785352 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.785764 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:09.885671 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.886031 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:09:09.967907 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:09.968249 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 424
2026-07-14 16:09:10.085000 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.085415 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 472
2026-07-14 16:09:10.184497 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.184904 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:10.278286 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.278750 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 328
2026-07-14 16:09:10.384670 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.385139 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 568
2026-07-14 16:09:10.480205 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 4
2026-07-14 16:09:10.480605 IP 192.168.1.105.34844 > 192.168.1.103.49999: tcp 376
